home_team,away_team,home1,home2,home3,home4,home5,home6,home7,home8,home9,home10,home11,away1,away2,away3,away4,away5,away6,away7,away8,away9,away10,away11,home_score,away_score,season
afc-bournemouth,arsenal-fc,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Dan Gosling,Lewis Cook,Ryan Fraser,Callum Wilson,Jordon Ibe,Petr Äech,Rob Holding,Shkodran Mustafi,Calum Chambers, HÃ©ctor BellerÃ­n,Jack Wilshere,Granit Xhaka,Ainsley Maitland-Niles,Alexandre Lacazette,Alex Iwobi,Danny Welbeck,2.0,1.0,2018
afc-bournemouth,brighton-hove-albion,Asmir BegoviÄ,Simon Francis,Nathan AkÃ©,Charlie Daniels,Adam Smith,Andrew Surman,Marc Pugh,Harry Arter,Ryan Fraser,Joshua King,Jermain Defoe,Mathew Ryan,Lewis Dunk,Shane Duffy,Liam Rosenior,Markus Suttner,Dale Stephens,Anthony Knockaert,Pascal GroÃ,Solomon March,Davy PrÃ¶pper,Tomer Hemed,2.0,1.0,2018
afc-bournemouth,burnley-fc,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Andrew Surman,Marc Pugh,Harry Arter,Callum Wilson,Joshua King,Jordon Ibe,Nick Pope,James Tarkowski,Ben Mee,Stephen Ward,Phil Bardsley,Jack Cork,Robbie Brady,Jeff Hendrick,Steven Defour,JÃ³hann GuÃ°mundsson,Chris Wood,1.0,2.0,2018
afc-bournemouth,chelsea-fc,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Andrew Surman,Lewis Cook,Junior Stanislas,Benik Afobe,Jermain Defoe,Thibaut Courtois,Antonio RÃ¼diger, Marcos Alonso,Davide Zappacosta, Azpilicueta, David Luiz, Cesc FÃ bregas,TiemouÃ© Bakayoko, Morata,Eden Hazard, Pedro,0.0,1.0,2018
afc-bournemouth,crystal-palace,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Dan Gosling,Marc Pugh,Lewis Cook,Ryan Fraser,Callum Wilson,Jermain Defoe,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka MilivojeviÄ,Yohan Cabaye,Ruben Loftus-Cheek,Andros Townsend,James McArthur,Wilfried Zaha,2.0,2.0,2018
afc-bournemouth,everton-fc,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Adam Smith,Dan Gosling,Lewis Cook,Ryan Fraser,Callum Wilson,Joshua King,Jordon Ibe,Jordan Pickford,Michael Keane,Phil Jagielka,Cuco Martina,Jonjoe Kenny,Morgan Schneiderlin,Aaron Lennon,James McCarthy,Idrissa Gueye,Gylfi SigurÃ°sson,Dominic Calvert-Lewin,2.0,1.0,2018
afc-bournemouth,huddersfield-town,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Andrew Surman,Marc Pugh,Harry Arter,Callum Wilson,Joshua King,Jordon Ibe,Jonas LÃ¶ssl,Scott Malone,Martin Cranie,Mathias JÃ¸rgensen,Florent Hadergjonaj,Aaron Mooy,Rajiv van La Parra,Daniel Williams,Tom Ince,Elias Kachunga,Laurent Depoitre,4.0,0.0,2018
afc-bournemouth,leicester-city,Asmir BegoviÄ,Simon Francis,Nathan AkÃ©,Charlie Daniels,Adam Smith,Andrew Surman,Marc Pugh,Lewis Cook,Junior Stanislas,Joshua King,Jermain Defoe,Kasper Schmeichel,Danny Simpson,Wes Morgan,Harry Maguire,Christian Fuchs,Andy King,Marc Albrighton,Wilfred Ndidi,Demarai Gray,Jamie Vardy,Shinji Okazaki,0.0,0.0,2018
afc-bournemouth,liverpool-fc,Asmir BegoviÄ,Simon Francis,Nathan AkÃ©,Charlie Daniels,Adam Smith,Andrew Surman,Marc Pugh,Lewis Cook,Joshua King,Jermain Defoe,Jordon Ibe,Simon Mignolet,Dejan Lovren,Joe Gomez,Ragnar Klavan,Andrew Robertson,Georginio Wijnaldum, Coutinho,Jordan Henderson,Alex Oxlade-Chamberlain, Roberto Firmino,Mohamed Salah,0.0,4.0,2018
afc-bournemouth,manchester-city,Asmir BegoviÄ,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Tyrone Mings,Dan Gosling,Andrew Surman,Harry Arter,Joshua King,Jermain Defoe, Ederson, Danilo,Vincent Kompany,Benjamin Mendy,NicolÃ¡s Otamendi,Kevin De Bruyne, David Silva, Fernandinho,Raheem Sterling, Bernardo Silva, Gabriel Jesus,1.0,2.0,2018
afc-bournemouth,manchester-united,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Andrew Surman,Lewis Cook,Ryan Fraser,Callum Wilson,Joshua King,Jordon Ibe, De Gea,Phil Jones,Chris Smalling,Luke Shaw,Matteo Darmian,Paul Pogba,Jesse Lingard, Ander Herrera,Marouane Fellaini,Anthony Martial,Marcus Rashford,0.0,2.0,2018
afc-bournemouth,newcastle-united,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Dan Gosling,Lewis Cook,Junior Stanislas,Ryan Fraser,Callum Wilson,Joshua King,Martin DÃºbravka,Paul Dummett,Jamaal Lascelles,Florian Lejeune,DeAndre Yedlin,Jonjo Shelvey,Momo DiamÃ©,Matt Ritchie, Kenedy, Ayoze PÃ©rez,Dwight Gayle,2.0,2.0,2018
afc-bournemouth,southampton-fc,Asmir BegoviÄ,Simon Francis,Nathan AkÃ©,Charlie Daniels,Adam Smith,Andrew Surman,Lewis Cook,Junior Stanislas,Ryan Fraser,Joshua King,Jermain Defoe,Fraser Forster,Wesley Hoedt,Virgil van Dijk,Ryan Bertrand,JÃ©rÃ©my Pied,Steven Davis,DuÅ¡an TadiÄ, Oriol Romeu,James Ward-Prowse,Sofiane Boufal,Charlie Austin,1.0,1.0,2018
afc-bournemouth,stoke-city,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Dan Gosling,Lewis Cook,Junior Stanislas,Ryan Fraser,Callum Wilson,Jordon Ibe,Jack Butland,Moritz Bauer,Erik Pieters,Kurt Zouma,Ryan Shawcross,Geoff Cameron,Joe Allen,Xherdan Shaqiri,Papa N'Diaye,Eric Maxim Choupo-Moting,Peter Crouch,2.0,1.0,2018
afc-bournemouth,swansea-city,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Andrew Surman,Marc Pugh,Lewis Cook,Ryan Fraser,Callum Wilson,Joshua King,Åukasz FabiaÅski,Mike van der Hoorn,Alfie Mawson,Martin Olsson,Federico FernÃ¡ndez,Connor Roberts,Sung-yueng Ki,Tom Carroll,Nathan Dyer,Jordan Ayew,AndrÃ© Ayew,1.0,0.0,2018
afc-bournemouth,tottenham-hotspur,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Dan Gosling,Lewis Cook,Junior Stanislas,Callum Wilson,Lys Mousset,Hugo Lloris,Danny Rose,Jan Vertonghen,Davinson SÃ¡nchez,Serge Aurier,Victor Wanyama,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane,1.0,4.0,2018
afc-bournemouth,watford-fc,Asmir BegoviÄ,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Ryan Fraser,Benik Afobe,Joshua King,Jordon Ibe, Gomes,Miguel Britos,Sebastian PrÃ¶dl,JosÃ© Holebas,Tom Cleverley,Nathaniel Chalobah,Abdoulaye DoucourÃ©, Kiko FemenÃ­a,Nordin Amrabat, Richarlison,Andre Gray,0.0,2.0,2018
afc-bournemouth,west-bromwich-albion,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Adam Smith,Dan Gosling,Lewis Cook,Junior Stanislas,Callum Wilson,Joshua King,Jordon Ibe,Ben Foster,Allan Nyom,Kieran Gibbs,Jonny Evans,Craig Dawson,Ahmed Hegazy,Claudio Yacob,Jake Livermore,Chris Brunt,SalomÃ³n RondÃ³n,Jay Rodriguez,2.0,1.0,2018
afc-bournemouth,west-ham-united,Asmir BegoviÄ,Simon Francis,Steve Cook,Nathan AkÃ©,Adam Smith,Dan Gosling,Lewis Cook,Ryan Fraser,Callum Wilson,Joshua King,Jordon Ibe, AdriÃ¡n,Aaron Cresswell,Pablo Zabaleta,James Collins,Angelo Ogbonna,Arthur Masuaku,Cheikhou KouyatÃ©,Manuel Lanzini, Pedro Obiang,Marko ArnautoviÄ,AndrÃ© Ayew,3.0,3.0,2018
