name,team,season,count
Artur Boruc,afc-bournemouth,2017,1
Simon Francis,afc-bournemouth,2017,1
Steve Cook,afc-bournemouth,2017,1
Nathan AkÃ©,afc-bournemouth,2017,1
Charlie Daniels,afc-bournemouth,2017,1
Dan Gosling,afc-bournemouth,2017,1
Harry Arter,afc-bournemouth,2017,1
Junior Stanislas,afc-bournemouth,2017,1
Ryan Fraser,afc-bournemouth,2017,1
Callum Wilson,afc-bournemouth,2017,1
Joshua King,afc-bournemouth,2017,1
Petr Äech,arsenal-fc,2017,1
Laurent Koscielny,arsenal-fc,2017,1
 Nacho Monreal,arsenal-fc,2017,1
Shkodran Mustafi,arsenal-fc,2017,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2017,1
Aaron Ramsey,arsenal-fc,2017,1
Granit Xhaka,arsenal-fc,2017,1
Francis Coquelin,arsenal-fc,2017,1
Alexis SÃ¡nchez,arsenal-fc,2017,1
Olivier Giroud,arsenal-fc,2017,1
Alex Iwobi,arsenal-fc,2017,1
Artur Boruc,afc-bournemouth,2017,1
Simon Francis,afc-bournemouth,2017,1
Steve Cook,afc-bournemouth,2017,1
Charlie Daniels,afc-bournemouth,2017,1
Adam Smith,afc-bournemouth,2017,1
Marc Pugh,afc-bournemouth,2017,1
Harry Arter,afc-bournemouth,2017,1
Lewis Cook,afc-bournemouth,2017,1
Junior Stanislas,afc-bournemouth,2017,1
Joshua King,afc-bournemouth,2017,1
Lys Mousset,afc-bournemouth,2017,1
Tom Heaton,burnley-fc,2017,1
Matthew Lowton,burnley-fc,2017,1
Stephen Ward,burnley-fc,2017,1
James Tarkowski,burnley-fc,2017,1
Kevin Long,burnley-fc,2017,1
Jeff Hendrick,burnley-fc,2017,1
Ashley Westwood,burnley-fc,2017,1
Scott Arfield,burnley-fc,2017,1
Sam Vokes,burnley-fc,2017,1
Ashley Barnes,burnley-fc,2017,1
George Boyd,burnley-fc,2017,1
Artur Boruc,afc-bournemouth,2017,1
Simon Francis,afc-bournemouth,2017,1
Steve Cook,afc-bournemouth,2017,1
Charlie Daniels,afc-bournemouth,2017,1
Adam Smith,afc-bournemouth,2017,1
Marc Pugh,afc-bournemouth,2017,1
Harry Arter,afc-bournemouth,2017,1
Ryan Fraser,afc-bournemouth,2017,1
Jack Wilshere,afc-bournemouth,2017,1
Benik Afobe,afc-bournemouth,2017,1
Joshua King,afc-bournemouth,2017,1
Thibaut Courtois,chelsea-fc,2017,1
 Marcos Alonso,chelsea-fc,2017,1
