home_team,away_team,home1,home2,home3,home4,home5,home6,home7,home8,home9,home10,home11,away1,away2,away3,away4,away5,away6,away7,away8,away9,away10,away11,home_score,away_score,season
southampton-fc,arsenal-fc,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis, Oriol Romeu,James Ward-Prowse,Nathan Redmond,DuÅ¡an TadiÄ,Manolo Gabbiadini,Petr Äech,Kieran Gibbs,Rob Holding, Nacho Monreal,Shkodran Mustafi,Aaron Ramsey,Mesut Ãzil,Granit Xhaka,Alexis SÃ¡nchez,Alex Oxlade-Chamberlain,Danny Welbeck,0.0,2.0,2017
southampton-fc,burnley-fc,Fraser Forster, JosÃ© Fonte,Cuco Martina,Virgil van Dijk,Matt Targett,Jordy Clasie,Steven Davis, Oriol Romeu,Nathan Redmond,Charlie Austin,DuÅ¡an TadiÄ,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Dean Marney,Jeff Hendrick,Steven Defour,JÃ³hann GuÃ°mundsson,Sam Vokes,George Boyd,3.0,1.0,2017
southampton-fc,chelsea-fc,Fraser Forster, JosÃ© Fonte,Cuco Martina,Virgil van Dijk,Ryan Bertrand,Jordy Clasie,Steven Davis, Oriol Romeu,Nathan Redmond,Charlie Austin,DuÅ¡an TadiÄ,Thibaut Courtois, Marcos Alonso,Gary Cahill, Azpilicueta, David Luiz,N'Golo KantÃ©,Victor Moses,Nemanja MatiÄ,Eden Hazard, Pedro, Diego Costa,0.0,2.0,2017
southampton-fc,crystal-palace,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Jack Stephens,Samuel McQueen,Steven Davis, Oriol Romeu,James Ward-Prowse,Nathan Redmond,Shane Long,DuÅ¡an TadiÄ,Wayne Hennessey,Joel Ward,Mamadou Sakho,Jeffrey Schlupp,Martin Kelly,Yohan Cabaye,Andros Townsend,Luka MilivojeviÄ,Jason Puncheon,Wilfried Zaha,Christian Benteke,3.0,1.0,2017
southampton-fc,everton-fc,Fraser Forster, CÃ©dric Soares, JosÃ© Fonte,Virgil van Dijk,Ryan Bertrand, Oriol Romeu,James Ward-Prowse,Nathan Redmond,Pierre-Emile HÃ¸jbjerg,Charlie Austin,Josh Sims,Maarten Stekelenburg,Leighton Baines,Ashley Williams,Phil Jagielka,SÃ©amus Coleman,Ross Barkley,Aaron Lennon,Yannick Bolasie,Idrissa Gueye,Gareth Barry,Romelu Lukaku,1.0,0.0,2017
southampton-fc,hull-city,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis, Oriol Romeu,Sofiane Boufal,Nathan Redmond,DuÅ¡an TadiÄ,Manolo Gabbiadini,Eldin JakupoviÄ,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Alfred N'Diaye,Sam Clucas, Evandro,Lazar MarkoviÄ,Kamil Grosicki,Oumar Niasse,0.0,0.0,2017
southampton-fc,leicester-city,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Virgil van Dijk,Ryan Bertrand, Oriol Romeu,James Ward-Prowse,Nathan Redmond,Pierre-Emile HÃ¸jbjerg,Jay Rodriguez,DuÅ¡an TadiÄ,Kasper Schmeichel,Wes Morgan,Robert Huth,Danny Simpson,Christian Fuchs,Danny Drinkwater,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Shinji Okazaki,Demarai Gray,3.0,0.0,2017
southampton-fc,liverpool-fc,Fraser Forster, CÃ©dric Soares, JosÃ© Fonte,Virgil van Dijk,Ryan Bertrand,Steven Davis, Oriol Romeu,Sofiane Boufal,Nathan Redmond,Pierre-Emile HÃ¸jbjerg,Charlie Austin,Loris Karius,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum, Coutinho,Jordan Henderson,Emre Can, Roberto Firmino,Sadio ManÃ©,0.0,0.0,2017
southampton-fc,manchester-city,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis,James Ward-Prowse,Nathan Redmond,Pierre-Emile HÃ¸jbjerg,DuÅ¡an TadiÄ,Manolo Gabbiadini,Claudio Bravo,Vincent Kompany,GaÃ«l Clichy,NicolÃ¡s Otamendi, JesÃºs Navas,Kevin De Bruyne, David Silva, Fernandinho,Yaya TourÃ©,Kun AgÃ¼ero,Leroy SanÃ©,0.0,3.0,2017
southampton-fc,manchester-united,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Jack Stephens,Matt Targett,Steven Davis, Oriol Romeu,James Ward-Prowse,Nathan Redmond,DuÅ¡an TadiÄ,Manolo Gabbiadini,Sergio Romero,Eric Bailly,Phil Jones,Chris Smalling,Matteo Darmian, Mata,Henrikh Mkhitaryan,Marouane Fellaini,Axel Tuanzebe,Wayne Rooney,Anthony Martial,0.0,0.0,2017
southampton-fc,middlesbrough-fc,Fraser Forster, JosÃ© Fonte,Cuco Martina,Virgil van Dijk,Samuel McQueen,Jordy Clasie, Oriol Romeu,James Ward-Prowse,Sofiane Boufal,Jay Rodriguez,DuÅ¡an TadiÄ, VÃ­ctor ValdÃ©s, FÃ¡bio,Ben Gibson, BarragÃ¡n,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Jordan Rhodes,Viktor Fischer,Cristhian Stuani,1.0,0.0,2017
southampton-fc,stoke-city,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis, Oriol Romeu,James Ward-Prowse,Nathan Redmond,Charlie Austin,DuÅ¡an TadiÄ,Jack Butland,Erik Pieters,Bruno Martins Indi,Ryan Shawcross,Geoff Cameron,Joe Allen,Glenn Whelan,Xherdan Shaqiri,Ramadan Sobhi,Mame Diouf,Peter Crouch,0.0,1.0,2017
